n,tempo
1000046000000,0.006000
1000046100000,0.007000
1000046200000,0.005000
1000046300000,0.005000
1000046400000,0.005000
1000046500000,0.005000
1000046600000,0.006000
1000046700000,0.006000
1000046800000,0.005000
1000046900000,0.002000
1000047000000,0.010000
1000047100000,0.006000
1000047200000,0.005000
1000047300000,0.005000
1000047400000,0.006000
1000047500000,0.007000
1000047600000,0.005000
1000047700000,0.006000
1000047800000,0.003000
1000047900000,0.006000
1000048000000,0.008000
1000048100000,0.002000
1000048200000,0.008000
1000048300000,0.004000
1000048400000,0.009000
1000048500000,0.005000
1000048600000,0.004000
1000048700000,0.007000
1000048800000,0.007000
1000048900000,0.004000
1000049000000,0.007000
1000049100000,0.005000
1000049200000,0.007000
1000049300000,0.007000
1000049400000,0.003000
1000049500000,0.009000
1000049600000,0.004000
1000049700000,0.006000
1000049800000,0.008000
1000049900000,0.005000
1000050000000,0.006000
1000050100000,0.006000
1000050200000,0.003000
1000050300000,0.008000
1000050400000,0.004000
1000050500000,0.008000
1000050600000,0.006000
1000050700000,0.004000
1000050800000,0.006000
1000050900000,0.003000
1000051000000,0.009000
1000051100000,0.003000
1000051200000,0.008000
1000051300000,0.005000
1000051400000,0.004000
1000051500000,0.006000
1000051600000,0.003000
1000051700000,0.010000
1000051800000,0.005000
1000051900000,0.005000
1000052000000,0.006000
1000052100000,0.006000
1000052200000,0.007000
1000052300000,0.007000
1000052400000,0.005000
1000052500000,0.006000
1000052600000,0.005000
1000052700000,0.004000
1000052800000,0.008000
1000052900000,0.005000
1000053000000,0.004000
1000053100000,0.006000
1000053200000,0.001000
1000053300000,0.009000
1000053400000,0.004000
1000053500000,0.008000
1000053600000,0.005000
1000053700000,0.006000
1000053800000,0.003000
1000053900000,0.010000
1000054000000,0.002000
1000054100000,0.009000
1000054200000,0.006000
1000054300000,0.006000
1000054400000,0.005000
1000054500000,0.005000
1000054600000,0.001000
1000054700000,0.006000
1000054800000,0.005000
1000054900000,0.006000
1000055000000,0.005000
1000055100000,0.004000
1000055200000,0.006000
1000055300000,0.002000
1000055400000,0.009000
1000055500000,0.006000
1000055600000,0.004000
1000055700000,0.007000
1000055800000,0.006000
1000055900000,0.005000
1000056000000,0.005000
1000056100000,0.006000
1000056200000,0.003000
1000056300000,0.008000
1000056400000,0.006000
1000056500000,0.005000
1000056600000,0.005000
1000056700000,0.006000
1000056800000,0.005000
1000056900000,0.004000
1000057000000,0.007000
1000057100000,0.005000
1000057200000,0.005000
1000057300000,0.005000
1000057400000,0.003000
1000057500000,0.006000
1000057600000,0.011000
1000057700000,0.006000
1000057800000,0.005000
1000057900000,0.007000
1000058000000,0.005000
1000058100000,0.005000
1000058200000,0.006000
1000058300000,0.005000
1000058400000,0.003000
1000058500000,0.007000
1000058600000,0.009000
1000058700000,0.004000
1000058800000,0.008000
1000058900000,0.005000
1000059000000,0.004000
1000059100000,0.006000
1000059200000,0.008000
1000059300000,0.005000
1000059400000,0.007000
1000059500000,0.006000
1000059600000,0.006000
1000059700000,0.005000
1000059800000,0.004000
1000059900000,0.007000
1000060000000,0.007000
1000060100000,0.005000
1000060200000,0.005000
1000060300000,0.003000
1000060400000,0.009000
1000060500000,0.006000
1000060600000,0.005000
1000060700000,0.004000
1000060800000,0.006000
1000060900000,0.006000
1000061000000,0.003000
1000061100000,0.008000
1000061200000,0.006000
1000061300000,0.004000
1000061400000,0.006000
1000061500000,0.006000
1000061600000,0.006000
1000061700000,0.006000
1000061800000,0.003000
1000061900000,0.009000
1000062000000,0.004000
1000062100000,0.000000
1000062200000,0.010000
1000062300000,0.003000
1000062400000,0.008000
1000062500000,0.004000
1000062600000,0.007000
1000062700000,0.006000
1000062800000,0.005000
1000062900000,0.005000
1000063000000,0.003000
1000063100000,0.009000
1000063200000,0.005000
1000063300000,0.004000
1000063400000,0.006000
1000063500000,0.005000
1000063600000,0.003000
1000063700000,0.009000
1000063800000,0.004000
1000063900000,0.006000
1000064000000,0.006000
1000064100000,0.008000
1000064200000,0.005000
1000064300000,0.006000
1000064400000,0.005000
1000064500000,0.005000
1000064600000,0.003000
1000064700000,0.006000
1000064800000,0.008000
1000064900000,0.006000
1000065000000,0.005000
1000065100000,0.007000
1000065200000,0.005000
1000065300000,0.005000
1000065400000,0.005000
1000065500000,0.004000
1000065600000,0.006000
1000065700000,0.001000
1000065800000,0.009000
1000065900000,0.004000
1000066000000,0.008000
1000066100000,0.005000
1000066200000,0.008000
1000066300000,0.005000
1000066400000,0.004000
1000066500000,0.006000
1000066600000,0.005000
1000066700000,0.007000
1000066800000,0.004000
1000066900000,0.006000
1000067000000,0.002000
1000067100000,0.006000
1000067200000,0.005000
1000067300000,0.006000
1000067400000,0.005000
1000067500000,0.004000
1000067600000,0.007000
1000067700000,0.005000
1000067800000,0.006000
1000067900000,0.006000
1000068000000,0.003000
1000068100000,0.007000
1000068200000,0.008000
1000068300000,0.006000
1000068400000,0.006000
1000068500000,0.005000
1000068600000,0.006000
1000068700000,0.006000
1000068800000,0.006000
1000068900000,0.004000
1000069000000,0.009000
1000069100000,0.005000
1000069200000,0.005000
1000069300000,0.006000
1000069400000,0.005000
1000069500000,0.004000
1000069600000,0.006000
1000069700000,0.006000
1000069800000,0.003000
1000069900000,0.008000
1000070000000,0.005000
1000070100000,0.005000
1000070200000,0.005000
1000070300000,0.001000
1000070400000,0.010000
1000070500000,0.004000
1000070600000,0.007000
1000070700000,0.006000
1000070800000,0.006000
1000070900000,0.008000
1000071000000,0.007000
1000071100000,0.005000
1000071200000,0.005000
1000071300000,0.005000
1000071400000,0.006000
1000071500000,0.005000
1000071600000,0.003000
1000071700000,0.008000
1000071800000,0.005000
1000071900000,0.004000
1000072000000,0.005000
1000072100000,0.003000
1000072200000,0.009000
1000072300000,0.004000
1000072400000,0.009000
1000072500000,0.006000
1000072600000,0.004000
1000072700000,0.005000
1000072800000,0.006000
1000072900000,0.006000
1000073000000,0.004000
1000073100000,0.007000
1000073200000,0.005000
1000073300000,0.005000
1000073400000,0.005000
1000073500000,0.003000
1000073600000,0.009000
1000073700000,0.005000
1000073800000,0.006000
1000073900000,0.005000
1000074000000,0.005000
1000074100000,0.005000
1000074200000,0.004000
1000074300000,0.007000
1000074400000,0.005000
1000074500000,0.005000
1000074600000,0.002000
1000074700000,0.009000
1000074800000,0.005000
1000074900000,0.006000
1000075000000,0.005000
1000075100000,0.005000
1000075200000,0.005000
1000075300000,0.003000
1000075400000,0.007000
1000075500000,0.008000
1000075600000,0.009000
1000075700000,0.004000
1000075800000,0.008000
1000075900000,0.006000
1000076000000,0.004000
1000076100000,0.006000
1000076200000,0.007000
1000076300000,0.006000
1000076400000,0.004000
1000076500000,0.007000
1000076600000,0.005000
1000076700000,0.004000
1000076800000,0.006000
1000076900000,0.003000
1000077000000,0.008000
1000077100000,0.004000
1000077200000,0.005000
1000077300000,0.006000
1000077400000,0.006000
1000077500000,0.006000
1000077600000,0.003000
1000077700000,0.009000
1000077800000,0.005000
1000077900000,0.006000
1000078000000,0.002000
1000078100000,0.007000
1000078200000,0.005000
1000078300000,0.006000
1000078400000,0.006000
1000078500000,0.006000
1000078600000,0.003000
1000078700000,0.008000
